阿	tzk· 阝可 ·a
肏	jmjj· 入冂人人 ·cao
褿	tfyo· 衤一曲曰 ·cao
襙	tdde· 衤口口口木 ·cao
鄵	dddt· 口口口木阝 ·cao
曺	nqor· 十田曰 ·cao
撡	ukkh· 扌厶厶厶人⺗ ·cao
鏪	zfyo· 金一曲曰 ·cao
懆	hdde· 忄口口口木 ·cao
慒	hfyo· 忄一曲曰 ·cao
慅	hric· 忄又丶虫 ·cao
愺	hlon· 忄艹日十 ·cao
嶆	vfyo· 山一曲曰 ·cao
騲	nlon· 馬艹日十 ·cao
傮	jfyo· 亻一曲曰 ·cao
鼜	hcrc· 支又丶虫 ·cao
测	kopd· 氵贝刂 ·ce
册	ic· 册 ·ce
侧	jopd· 亻贝刂 ·ce
策	remk· ⺮木冂 ·ce
厕	xopd· 厂贝刂 ·ce
恻	hopd· 忄贝刂 ·ce
蓛	lemh· 艹木冂攵 ·ce
萴	lopd· 艹貝刂 ·ce
萗	lwfs· 艹宀示 ·ce
荝	lopd· 艹贝刂 ·ce
粣	pic· 米册 ·ce
簎	rulo· ⺮扌龷日 ·ce
箣	remp· ⺮木冂刂 ·ce
筴	rmjj· ⺮大人人 ·ce
筞	rwem· ⺮宀木 ·ce
笧	ric· ⺮册 ·ce
畟	qhhi· 田八夊 ·ce
測	kopd· 氵貝刂 ·ce
敇	emhp· 木冂攵 ·ce
拺	uemk· 扌木冂 ·ce
憡	hrem· 忄⺮木冂 ·ce
惻	hopd· 忄貝刂 ·ce
廁	xopd· 广貝刂 ·ce
墄	gnyy· 土戊⺊一小 ·ce
厠	xopd· 厂貝刂 ·ce
冊	ic· 冊 ·ce
側	jopd· 亻貝刂 ·ce
齰	llor· 齒龷日 ·ce
岑	vjae· 山亽 ·cen
参	kmes· 厶大彡 ·cen
涔	kvja· 氵山亽 ·cen
笒	rjae· ⺮亽 ·cen
硶	mvja· 石山亽 ·cen
梣	evja· 木山亽 ·cen
嵾	vkke· 山厶厶厶人彡 ·cen
參	kkke· 厶厶厶人彡 ·cen
层	cby· 尸云 ·ceng
曾	hryo· 丷囗⺌曰 ·ceng
蹭	phro· ⻊丷囗⺌曰 ·ceng
噌	dhro· 口丷囗⺌曰 ·ceng
竲	ihro· 立丷囗⺌曰 ·ceng
橧	ehro· 木丷囗⺌曰 ·ceng
曽	hqor· 丷田曰 ·ceng
嶒	vhro· 山丷囗⺌曰 ·ceng
層	chro· 尸丷囗⺌曰 ·ceng
驓	nhro· 馬丷囗⺌曰 ·ceng
差	gug· ⺶工 ·cha
查	eofi· 木日一 ·cha
插	ulpj· 扌千臼 ·cha
茶	ljem· 艹人木 ·cha
察	whfs· 宀示 ·cha
茬	lngg· 艹𠂇丨土 ·cha
叉	rid· 又丶 ·cha
岔	hpvs· 八刀山 ·cha
碴	meof· 石木日一 ·cha
嚓	dwhf· 口宀示 ·cha
杈	erid· 木又丶 ·cha
汊	krid· 氵又丶 ·cha
刹	bepd· 㐅朩刂 ·cha
搽	ulje· 扌艹人木 ·cha
槎	egug· 木⺶工 ·cha
姹	bwtr· 女宀丿七 ·cha
衩	trid· 衤又丶 ·cha
诧	swtr· 讠宀丿七 ·cha
镲	zwhf· 钅宀示 ·cha
喳	deof· 口木日一 ·cha
锸	zlpj· 钅千臼 ·cha
猹	meof· 犭木日一 ·cha
檫	ewhf· 木宀示 ·cha
馇	qeof· 饣木日一 ·cha
楂	eeof· 木木日一 ·cha
垞	gwtr· 土宀丿七 ·cha
嵖	veof· 山木日一 ·cha
蹅	peof· ⻊木日一 ·cha
荖	lql· 艹老 ·cha
芆	lrid· 艹又丶 ·cha
艖	igug· 舟⺶工 ·cha
臿	lpj· 千臼 ·cha
肞	vibi· 月丶乂 ·cha
褨	tgug· 衤⺶工 ·cha
紁	irid· 糹又丶 ·cha
訍	srid· 言又丶 ·cha
詧	hsy· 言 ·cha
詫	swtr· 言宀丿七 ·cha
秅	xtrq· 禾丿七 ·cha
釵	zrid· 金又丶 ·cha
梌	ejxh· 木人 ·cha
査	efq· 木且 ·cha
銟	zvrj· 金山巾 ·cha
鍤	zlpj· 金千臼 ·cha
鎈	zgug· 金⺶工 ·cha
摖	uhfs· 扌示 ·cha
揷	ulpj· 扌千臼 ·cha
捈	ujxh· 扌人 ·cha
挿	ulor· 扌千曰 ·cha
鑔	zwhf· 金宀示 ·cha
扱	ucj· 扌及 ·cha
扠	urid· 扌又丶 ·cha
靫	trid· 革又丶 ·cha
岎	vhpd· 山八刀 ·cha
餷	qeof· 飠木日一 ·cha
奼	btrq· 女丿七 ·cha
嗏	dlje· 口艹人木 ·cha
剎	beip· 㐅木丶刂 ·cha
偛	jlpj· 亻千臼 ·cha
侘	jwtr· 亻宀丿七 ·cha
仛	jtrq· 亻丿七 ·cha
拆	utid· 扌斤丶 ·chai
柴	svem· 匕木 ·chai
差	gug· ⺶工 ·chai
钗	zrid· 钅又丶 ·chai
豺	mntp· 豸丿 ·chai
侪	jqq· 亻齐 ·chai
虿	fpcc· 一虫 ·chai
瘥	agug· 疒⺶工 ·chai
茝	lqc· 艹 ·chai
蠆	lqvc· 艹田⽱虫 ·chai
袃	rpti· 七刀衣 ·chai
訍	srid· 言又丶 ·chai
祡	svfs· 匕示 ·chai
疀	oqfs· 巛田一龰 ·chai
犲	mntp· 犭丿 ·chai
釵	zrid· 金又丶 ·chai
扠	urid· 扌又丶 ·chai
囆	dlqc· 口艹田⽱虫 ·chai
喍	dsve· 口匕木 ·chai
儕	jqq· 亻齐 ·chai
齜	lsvb· 齒匕 ·chai
产	ixc· 厂 ·chan
馋	qwpw· 饣⺀ ·chan
缠	ixdl· 纟广里 ·chan
铲	zixc· 钅厂 ·chan
颤	zrdw· 亠囗口日一页 ·chan
掺	ukme· 扌厶大彡 ·chan
禅	fhqn· 礻丷田十 ·chan
蝉	chqn· 虫丷田十 ·chan
搀	uwpw· 扌⺀ ·chan
蟾	cxxs· 虫⺈厂八言 ·chan
单	hqns· 丷田十 ·chan
谄	sxpj· 讠⺈臼 ·chan
阐	ahqn· 门丷田十 ·chan
婵	bhqn· 女丷田十 ·chan
潺	kchh· 氵尸子子子 ·chan
谗	swpw· 讠⺀ ·chan
孱	chhh· 尸子子子 ·chan
澶	kzrf· 氵亠囗口日一 ·chan
廛	xdhg· 广里八土 ·chan
忏	hlq· 忄千 ·chan
羼	cggg· 尸羊⺶羊 ·chan
觇	ydej· ⺊口见 ·chan
崭	vytj· 山斤 ·chan
镡	zvon· 钅覀日十 ·chan
冁	hqnt· 丷田十尸龷 ·chan
蒇	lnob· 艹戊贝 ·chan
躔	pxdg· ⻊广里八土 ·chan
骣	nchh· 马尸子子子 ·chan
啴	dhqn· 口丷田十 ·chan
巉	vwvw· 山匕兔 ·chan
浐	kixc· 氵厂 ·chan
瀍	kxdg· 氵广里八土 ·chan
镵	zwvw· 钅匕兔 ·chan
韂	txxs· 革⺈厂八言 ·chan
蕆	lnob· 艹戊貝 ·chan
苂	lch· 艹火 ·chan
艬	iwvw· 舟匕兔 ·chan
螹	cytj· 虫車斤 ·chan
蟬	cddn· 虫口口田十 ·chan
脠	vtsu· 月丿止廴 ·chan
袩	tydk· 衤⺊口 ·chan
裧	tcch· 衤火火 ·chan
襌	tddn· 衤口口田十 ·chan
襜	txxs· 衤⺈厂八言 ·chan
襝	tjdj· 衤亼口口人人 ·chan
覘	ydej· ⺊口見 ·chan
纒	ixpg· 糹厂黒土 ·chan
纏	ixdg· 糹广里八土 ·chan
繵	izrf· 糹亠囗口日一 ·chan
繟	iddn· 糹口口田十 ·chan
緾	ixdl· 糹厂里 ·chan
簅	rixl· ⺮厂生 ·chan
誗	sxpd· 言禾刂 ·chan
諂	sxpj· 言⺈臼 ·chan
禪	fddn· 礻口口田十 ·chan
磛	ytms· 車斤石 ·chan
硟	mtsu· 石丿止廴 ·chan
譂	sddn· 言口口田十 ·chan
讇	saxp· 言門⺈臼 ·chan
讒	swvw· 言匕兔 ·chan
讖	sjjf· 言人人戈非一 ·chan
産	ixls· 厂生 ·chan
產	vxls· 文厂生 ·chan
獑	mytj· 犭車斤 ·chan
燀	cddn· 火口口田十 ·chan
煘	cnfd· 火戊一口 ·chan
灛	kadn· 氵門口口田十 ·chan
瀺	kwvw· 氵匕兔 ·chan
潹	keee· 氵木木木 ·chan
滻	kixl· 氵厂生 ·chan
湹	kxdl· 氵厂里 ·chan
辿	vuc· 山辶 ·chan
鄽	xdht· 广里八土阝 ·chan
酁	wvvt· 匕兔阝 ·chan
毚	wvvw· 匕兔 ·chan
醦	ykke· 酉厶厶厶人彡 ·chan
欃	ewvw· 木匕兔 ·chan
榐	eclt· 木尸龷 ·chan
棎	ewhe· 木冖八木 ·chan
梴	etsu· 木丿止廴 ·chan
鉆	zydk· 金⺊口 ·chan
鋋	ztsu· 金丿止廴 ·chan
鋓	zxpd· 金禾刂 ·chan
旵	ovs· 日山 ·chan
斺	ljpd· 方人 ·chan
攙	uwvw· 扌匕兔 ·chan
摻	ukke· 扌厶厶厶人彡 ·chan
摲	uytj· 扌車斤 ·chan
摌	uixl· 扌厂生 ·chan
鏟	zixl· 金厂生 ·chan
鑱	zwvw· 金匕兔 ·chan
閳	ayc· 門車 ·chan
懺	hjjf· 忄人人戈非一 ·chan
懴	hnpf· 忄十戈非一 ·chan
闡	addn· 門口口田十 ·chan
幨	rxxs· 巾⺈厂八言 ·chan
幝	rddn· 巾口口田十 ·chan
嶄	vytj· 山車斤 ·chan
嶃	vytj· 山車斤 ·chan
嵼	vixl· 山厂生 ·chan
顫	zrdw· 亠囗口日一頁 ·chan
嬋	bddn· 女口口田十 ·chan
饞	qwvw· 飠匕兔 ·chan
壥	gxpg· 土厂黑土 ·chan
墠	gddn· 土口口田十 ·chan
囅	ddqt· 口口田十尸龷 ·chan
嚵	dwvw· 口匕兔 ·chan
嘽	dddn· 口口口田十 ·chan
單	ddqn· 口口田十 ·chan
劖	wvvp· 匕兔刂 ·chan
剷	ixlp· 厂生刂 ·chan
剗	pppd· 戈戈刂 ·chan
刬	fppd· 一戈刂 ·chan
儳	jwvw· 亻匕兔 ·chan
儃	jzrf· 亻亠囗口日一 ·chan
僤	jddn· 亻口口田十 ·chan
僝	jchh· 亻尸子子子 ·chan
佔	jydk· 亻⺊口 ·chan
丳	ddpd· 口口 ·chan
长	pc· 长 ·chang
唱	door· 口日曰 ·chang
场	gaes· 土ㄋ ·chang
常	srj· 巾 ·chang
厂	xc· 厂 ·chang
昌	oor· 日曰 ·chang
尝	sby· 龸云 ·chang
畅	ogae· 日丨ㄋ ·chang
肠	vaes· 月ㄋ ·chang
偿	jsby· 亻龸云 ·chang
倡	joor· 亻日曰 ·chang
敞	shp· 尚攵 ·chang
娼	boor· 女日曰 ·chang
昶	ikor· 丶日 ·chang
菖	loor· 艹日曰 ·chang
苌	lpc· 艹长 ·chang
怅	hpc· 忄长 ·chang
鲳	woor· 鱼日曰 ·chang
伥	jpc· 亻长 ·chang
猖	moor· 犭日曰 ·chang
鬯	pmvb· 凵匕 ·chang
阊	aoor· 门日曰 ·chang
惝	hss· 忄尚 ·chang
倘	jss· 亻尚 ·chang
裳	sti· 衣 ·chang
徜	wss· 彳尚 ·chang
嫦	bsrj· 女巾 ·chang
氅	shvm· 尚攵毛 ·chang
玚	naes· 王ㄋ ·chang
萇	lpc· 艹長 ·chang
蟐	csrj· 虫巾 ·chang
膓	veoe· 月𠂉日一勹 ·chang
腸	vofe· 月日一勹 ·chang
脹	vpc· 月長 ·chang
裮	toor· 衤日曰 ·chang
誯	soor· 言日曰 ·chang
畼	qofe· 田日一勹 ·chang
甞	szg· 甘 ·chang
瓺	prw· 镸瓦 ·chang
瑺	nsrj· 王巾 ·chang
瑒	nofe· 王日一勹 ·chang
琩	noor· 王日曰 ·chang
焻	coor· 火日曰 ·chang
淐	koor· 氵日曰 ·chang
棖	epc· 木長 ·chang
鋹	zpc· 金長 ·chang
鋿	zss· 金尚 ·chang
暢	ogoe· 日丨日一勹 ·chang
晿	ooor· 日日曰 ·chang
錩	zoor· 金日曰 ·chang
鏛	zsrj· 金巾 ·chang
锠	zoor· 钅日曰 ·chang
長	pc· 長 ·chang
镸	pc· 镸 ·chang
閶	aoor· 門日曰 ·chang
闛	asgt· 門土 ·chang
悵	hpc· 忄長 ·chang
廠	xshp· 广尚攵 ·chang
韔	gpc· 韋長 ·chang
塲	geoe· 土𠂉日一勹 ·chang
場	gofe· 土日一勹 ·chang
嚐	dsvo· 口匕日 ·chang
嘗	svor· 匕日 ·chang
鯧	woor· 魚日曰 ·chang
鱨	wsvo· 魚匕日 ·chang
鲿	wsby· 鱼龸云 ·chang
厰	xshp· 厂尚攵 ·chang
兏	xyfp· 厂⺊一儿 ·chang
償	jsob· 亻貝 ·chang
僘	jshp· 亻尚攵 ·chang
倀	jpc· 亻長 ·chang
鼚	hcpc· 支長 ·chang
仩	jyfi· 亻⺊一 ·chang
仧	yfjr· ⺊一人 ·chang
超	ppdk· 走刀口 ·chao
吵	dytp· 口𡭔丿 ·chao
抄	uytp· 扌𡭔丿 ·chao
炒	cytp· 火𡭔丿 ·chao
朝	nonv· 十日十月 ·chao
潮	knov· 氵十日十月 ·chao
巢	oqem· 巛田木 ·chao
钞	zytp· 钅𡭔丿 ·chao
焯	cyon· 火⺊日十 ·chao
嘲	dnov· 口十日十月 ·chao
晁	opww· 日儿冫 ·chao
绰	iyon· 纟⺊日十 ·chao
剿	oqep· 巛田木刂 ·chao
耖	aytp· 耒𡭔丿 ·chao
怊	hpdk· 忄刀口 ·chao
罺	yoqe· 罒巛田木 ·chao
觘	xtyt· ⺈用𡭔丿 ·chao
繛	aiyn· 龶糸⺊日十 ·chao
綽	iyon· 糹⺊日十 ·chao
綤	pdti· 刀口阝糸 ·chao
粆	pytp· 米𡭔丿 ·chao
訬	sytp· 言𡭔丿 ·chao
窲	epjd· 穴米斗 ·chao
謿	snov· 言十日十月 ·chao
眧	qpdk· 目刀口 ·chao
趠	pyon· 走⺊日十 ·chao
趫	ptmd· 走丿大口冂口 ·chao
牊	apdk· 片刀口 ·chao
煼	cnss· 火勹勹 ·chao
焣	qrch· 耳又灬 ·chao
漅	koqe· 氵巛田木 ·chao
轈	yoqe· 車巛田木 ·chao
鄛	oqet· 巛田木阝 ·chao
欩	pdeq· 刀口欠 ·chao
樔	eoqe· 木巛田木 ·chao
鈔	zytp· 金𡭔丿 ·chao
摷	uoqe· 扌巛田木 ·chao
弨	bpdk· 弓刀口 ·chao
巣	kqem· ツ田木 ·chao
巐	vgol· 山高日丿廾 ·chao
勦	oqes· 巛田木力 ·chao
劋	dddp· 口口口木刂 ·chao
麨	ejjt· 木人人夂𡭔丿 ·chao
鼂	ofdm· 日一黽 ·chao
鼌	ofdm· 日一黾 ·chao
仯	jytp· 亻𡭔丿 ·chao
仦	jyx· 亻小 ·chao
车	yc· 车 ·che
扯	usi· 扌止 ·che
撤	ubvh· 扌⺝攵 ·che
彻	wrpd· 彳七刀 ·che
掣	qrpu· 牛巾刂手 ·che
澈	kbvh· 氵⺝攵 ·che
坼	gtid· 土斤丶 ·che
尺	cid· 尸㇏ ·che
砗	myc· 石车 ·che
屮	sc· 屮 ·che
莗	lyc· 艹車 ·che
蛼	cyc· 虫車 ·che
聅	qos· 耳矢 ·che
詀	sydk· 言⺊口 ·che
謵	szub· 言羽白 ·che
硩	utms· 扌斤石 ·che
硨	myc· 石車 ·che
瞮	qbvh· 目⺝攵 ·che
爡	clqc· 火艹田⽱虫 ·che
焎	utch· 扌斤灬 ·che
烲	utch· 扌斤火 ·che
車	yc· 車 ·che
烢	cwtr· 火宀丿七 ·che
迠	yduc· ⺊口辶 ·che
撦	umqo· 扌大耂日 ·che
揊	ufdq· 扌一口田 ·che
徹	wbvh· 彳⺝攵 ·che
頙	fswy· 一止頁 ·che
奲	mqon· 大耂日口口田十 ·che
唓	dyc· 口車 ·che
呫	dydk· 口⺊口 ·che
勶	wbvs· 彳⺝攵力 ·che
偖	jqor· 亻耂日 ·che
俥	jyc· 亻車 ·che
伬	jcid· 亻尸㇏ ·che
伡	jyc· 亻车 ·che
狾	mutj· 犭扌斤 ·che
陈	tryx· 阝小 ·chen
趁	pjes· 走人彡 ·chen
晨	ofc· 日辰 ·chen
沉	kwoj· 氵冖几 ·chen
尘	ygt· 小土 ·chen
琛	nwhe· 王冖八木 ·chen
臣	qc· 臣 ·chen
辰	fc· 辰 ·chen
衬	tkc· 衤寸 ·chen
宸	wfc· 宀辰 ·chen
忱	hwpe· 忄冖 ·chen
谌	szha· 讠㇗ ·chen
抻	uogs· 扌日丨 ·chen
嗔	dnqh· 口十 ·chen
伧	jjzj· 亻人⺋ ·chen
郴	eete· 木木阝 ·chen
碜	mkme· 石厶大彡 ·chen
谶	sjjf· 讠人人戈非一 ·chen
称	xxyx· 禾小 ·chen
秤	xehb· 禾干丷 ·chen
龀	lvb· 齿 ·chen
榇	eiem· 木立木 ·chen
疢	ach· 疒火 ·chen
薼	lxgt· 艹鹿土 ·chen
蔯	lteo· 艹阝木日 ·chen
莐	lkwp· 艹氵冖 ·chen
莀	lfc· 艹辰 ·chen
茞	lqc· 艹臣 ·chen
螴	teoc· 阝木日虫 ·chen
襯	tiee· 衤立木見 ·chen
縝	inqh· 糹十 ·chen
綝	ieem· 糹木木 ·chen
訦	swpe· 言冖 ·chen
稱	xymg· 禾爫冂土 ·chen
諃	seem· 言木木 ·chen
諶	szha· 言㇗ ·chen
謓	snqh· 言十 ·chen
磣	mkke· 石厶厶厶人彡 ·chen
硶	mvja· 石山亽 ·chen
瞋	qnqh· 目十 ·chen
讖	sjjf· 言人人戈非一 ·chen
瘨	anqh· 疒十 ·chen
瘎	azha· 疒㇗ ·chen
賝	owhe· 貝冖八木 ·chen
贂	okke· 貝厶厶厶人彡 ·chen
趂	pxyx· 走小 ·chen
趻	pjae· ⻊亽 ·chen
踸	pzha· ⻊㇗ ·chen
煁	czha· 火㇗ ·chen
軙	yhp· 車攴 ·chen
迧	oguc· 日丨辶 ·chen
醦	ykke· 酉厶厶厶人彡 ·chen
櫬	eiee· 木立木見 ·chen
樄	eteo· 木阝木日 ·chen
鈂	zwpe· 金冖 ·chen
棽	eeja· 木木亽 ·chen
桭	efc· 木辰 ·chen
栕	eqc· 木臣 ·chen
曟	ooof· 日日日辰 ·chen
鍖	zzha· 金㇗ ·chen
敐	fhp· 辰攵 ·chen
揨	ugad· 扌丁 ·chen
捵	uihb· 扌 ·chen
闖	anm· 門馬 ·chen
愖	hzha· 忄㇗ ·chen
陳	teor· 阝木日 ·chen
霃	tkwp· ⻗氵冖 ·chen
夦	zhal· ㇗夕夕 ·chen
墋	gkke· 土厶厶厶人彡 ·chen
塵	xgt· 鹿土 ·chen
嚫	diee· 口立木見 ·chen
鷐	ofxn· 日辰鳥 ·chen
儭	jiee· 亻立木見 ·chen
麎	xfc· 鹿辰 ·chen
傖	jjmd· 亻人口 ·chen
齓	lae· 齒乚 ·chen
齔	lvb· 齒 ·chen
成	nae· 戊㇆ ·cheng
城	gnae· 土戊㇆ ·cheng
称	xxyx· 禾小 ·cheng
程	xdnw· 禾口王 ·cheng
撑	usus· 扌手 ·cheng
乘	xavb· 禾匕 ·cheng
承	akts· 乛水三 ·cheng
诚	snae· 讠戊㇆ ·cheng
呈	dnw· 口王 ·cheng
澄	khzd· 氵癶豆 ·cheng
盛	naam· 戊㇆皿 ·cheng
橙	ehzd· 木癶豆 ·cheng
秤	xehb· 禾干丷 ·cheng
丞	akfi· 乛水一 ·cheng
惩	wfsh· 彳一止心 ·cheng
逞	dnuc· 口王辶 ·cheng
埕	gdnw· 土口王 ·cheng
骋	ndfa· 马由一ㄅ ·cheng
塍	vhhg· 月丷夫土 ·cheng
蛏	crgt· 虫又土 ·cheng
瞠	qsgt· 目土 ·cheng
柽	ergt· 木又土 ·cheng
铖	znae· 钅戊㇆ ·cheng
铛	zybj· 钅⺌彐 ·cheng
酲	ydnw· 酉口王 ·cheng
枨	epc· 木长 ·cheng
裎	tdnw· 衤口王 ·cheng
噌	dhro· 口丷囗⺌曰 ·cheng
晟	onae· 日戊㇆ ·cheng
宬	wnae· 宀戊㇆ ·cheng
牚	sly· 牙 ·cheng
琤	nxbv· 王⺈ ·cheng
赪	gcyo· 土⺊贝 ·cheng
虰	cad· 虫丁 ·cheng
荿	lnae· 艹戊㇆ ·cheng
蟶	cqdn· 虫耳口王 ·cheng
脭	vdnw· 月口王 ·cheng
脀	akfv· 乛水一⺝ ·cheng
罉	asus· 缶手 ·cheng
緽	iyob· 糹⺊貝 ·cheng
絾	inae· 糹戊㇆ ·cheng
筬	rnae· ⺮戊㇆ ·cheng
竀	efse· 穴一止見 ·cheng
誠	snae· 言戊㇆ ·cheng
窚	enae· 穴戊㇆ ·cheng
穪	xffb· 禾一 ·cheng
稱	xymg· 禾爫冂土 ·cheng
碀	mxbv· 石⺈ ·cheng
睈	qdnw· 目口王 ·cheng
畻	qhhg· 田丷夫土 ·cheng
赬	gcyo· 土⺊貝 ·cheng
瑲	njmd· 王人口 ·cheng
珹	nnae· 王戊㇆ ·cheng
珵	ndnw· 王口王 ·cheng
爯	ymgt· 爫冂土 ·cheng
瀞	kavb· 氵龶⺝⺈ ·cheng
瀓	kwvh· 氵彳山一王攵 ·cheng
澂	kvfh· 氵山一王攵 ·cheng
溗	kxav· 氵禾匕 ·cheng
浾	kgch· 氵土 ·cheng
浧	kdnw· 氵口王 ·cheng
洆	kakf· 氵乛水一 ·cheng
泟	kfsi· 氵一止 ·cheng
郕	nate· 戊㇆阝 ·cheng
氶	aks· 乛水 ·cheng
檙	eqaa· 木目 ·cheng
檉	eqdn· 木耳口王 ·cheng
橖	esem· 木木 ·cheng
橕	esly· 木牙 ·cheng
槍	ejmd· 木人口 ·cheng
椉	zlve· 亠夕㐄木 ·cheng
棦	exbv· 木⺈ ·cheng
棖	epc· 木長 ·cheng
朾	ead· 木丁 ·cheng
鋮	znae· 金戊㇆ ·cheng
鎗	zjmd· 金人口 ·cheng
撐	usly· 扌牙 ·cheng
摚	usgt· 扌土 ·cheng
鏳	zhro· 金丷囗⺌曰 ·cheng
鏿	zsem· 金木 ·cheng
掁	upc· 扌長 ·cheng
鐣	zsus· 金手 ·cheng
挰	udnw· 扌口王 ·cheng
鐺	zsqt· 金田 ·cheng
懲	wvfh· 彳山一王攵心 ·cheng
憕	hhzd· 忄癶豆 ·cheng
憆	hsgt· 忄土 ·cheng
阷	tfsi· 阝一止 ·cheng
悜	hdnw· 忄口王 ·cheng
徎	wdnw· 彳口王 ·cheng
靗	avmg· 龶⺝光 ·cheng
庱	xghh· 广土八夊 ·cheng
峸	vnae· 山戊㇆ ·cheng
頳	gcwy· 土頁 ·cheng
娍	bnae· 女戊㇆ ·cheng
饓	qsem· 飠木 ·cheng
騁	ndfa· 馬由一ㄅ ·cheng
塖	gxav· 土禾匕 ·cheng
堘	ghhg· 土丷夫土 ·cheng
騬	nxav· 馬禾匕 ·cheng
鯎	wnae· 魚戊㇆ ·cheng
偁	jymg· 亻爫冂土 ·cheng
倀	jpc· 亻長 ·cheng
侱	jdnw· 亻口王 ·cheng
乗	xln· 禾龷 ·cheng
吃	deai· 口𠂉乙 ·chi
迟	ciuc· 尸丶辶 ·chi
池	key· 氵也 ·chi
尺	cid· 尸㇏ ·chi
持	ugkc· 扌土寸 ·chi
赤	gch· 土 ·chi
驰	ney· 马也 ·chi
耻	qsi· 耳止 ·chi
篪	rxzh· ⺮⺁虎 ·chi
痴	aodk· 疒矢口 ·chi
齿	lc· 齿 ·chi
炽	cdhb· 火口八 ·chi
斥	tid· 斤丶 ·chi
翅	czv· 支羽 ·chi
哧	dgch· 口土 ·chi
蚩	sfcc· 屮一虫 ·chi
弛	bey· 弓也 ·chi
茌	ljgs· 艹亻士 ·chi
敕	xhp· 束攵 ·chi
墀	gckq· 土尸氺牛 ·chi
嗤	dsfc· 口屮一虫 ·chi
侈	jllx· 亻夕夕 ·chi
笞	rkdk· ⺮厶口 ·chi
叱	dvb· 口 ·chi
饬	qesl· 饣𠂉力 ·chi
豉	zci· 豆支 ·chi
眵	qllx· 目夕夕 ·chi
螭	czbv· 虫亠㐅凵禸 ·chi
鸱	bixn· 氏丶鸟 ·chi
彳	wc· 彳 ·chi
匙	otvb· 日匕 ·chi
哆	dllx· 口夕夕 ·chi
啻	iwrd· 冖巾口 ·chi
踟	podk· ⻊矢口 ·chi
褫	txzh· 衤⺁虎 ·chi
魑	azbv· 鬼亠㐅凵禸 ·chi
瘛	aaph· 疒丰刀心 ·chi
媸	bsfc· 女屮一虫 ·chi
傺	jhfs· 亻示 ·chi
坻	gbid· 土氏丶 ·chi
眙	qkdk· 目厶口 ·chi
郗	bnrt· 㐅𠂇巾阝 ·chi
剟	rrrp· 又又又又刂 ·chi
泜	kbid· 氵氏丶 ·chi
瓻	bnrr· 㐅𠂇巾瓦 ·chi
踶	pots· ⻊日 ·chi
蚇	ccid· 虫尸㇏ ·chi
蚳	cbid· 虫氏丶 ·chi
荎	lyi· 艹至 ·chi
蝭	cots· 虫日 ·chi
腟	vwyi· 月宀至 ·chi
脪	vbnr· 月㐅𠂇巾 ·chi
胵	vyi· 月至 ·chi
胣	veey· 月𠂉也 ·chi
肔	vey· 月也 ·chi
袲	tllx· 衣夕夕 ·chi
袳	tllx· 衤夕夕 ·chi
耛	akdk· 耒厶口 ·chi
裭	tzh· 衤虎 ·chi
翨	zots· 羽日 ·chi
翤	dizv· 口羽 ·chi
翄	zci· 羽支 ·chi
絺	ibnr· 糹㐅𠂇巾 ·chi
糦	phdk· 米壴口 ·chi
粚	peey· 米𠂉也 ·chi
訵	sys· 言四 ·chi
箎	rzh· ⺮虎 ·chi
箈	rkkd· ⺮氵厶口 ·chi
筂	rkey· ⺮氵也 ·chi
誀	sqe· 言耳 ·chi
誃	sllx· 言夕夕 ·chi
竾	rey· ⺮也 ·chi
誺	sejj· 言木人人 ·chi
祇	fbs· 礻氏 ·chi
謘	scnx· 言尸辛 ·chi
謻	sxll· 言禾夕夕 ·chi
瞝	qzbv· 目亠㐅凵禸 ·chi
癡	avot· 疒匕矢龴疋 ·chi
瘈	aapm· 疒丰刀大 ·chi
痸	aqrp· 疒牛巾刂 ·chi
貾	obid· 貝氏丶 ·chi
痓	ayi· 疒至 ·chi
赿	pbs· 走氏 ·chi
趍	pllx· 走夕夕 ·chi
趐	pzv· 走羽 ·chi
趩	pqlh· 走田龷八 ·chi
跅	ptid· ⻊斤丶 ·chi
跮	pyi· ⻊至 ·chi
狋	mfs· 犭示 ·chi
熾	cxpg· 火音戈 ·chi
烾	ccgt· 火火土 ·chi
軧	ybid· 車氏丶 ·chi
灻	gch· 土火 ·chi
漦	ahxk· 未攵厂水 ·chi
湁	kujd· 氵扌亼口 ·chi
迡	cvuc· 尸匕辶 ·chi
迣	lauc· 廿㇗辶 ·chi
遅	cguc· 尸羊辶 ·chi
遟	cnuc· 尸辛辶 ·chi
遫	xhuc· 束攵辶 ·chi
遲	ckqu· 尸氺牛辶 ·chi
邌	xpju· 禾人氺辶 ·chi
沶	kfs· 氵示 ·chi
殦	gxn· 歹鳥 ·chi
歭	sgkc· 止土寸 ·chi
欼	rrre· 又又又又欠 ·chi
樆	ezbv· 木亠㐅凵禸 ·chi
鉓	zerj· 金𠂉巾 ·chi
鉹	zllx· 金夕夕 ·chi
銐	gpzj· 歹刂金 ·chi
柅	ecvb· 木尸匕 ·chi
杘	cem· 尸木 ·chi
鍉	zots· 金日 ·chi
攡	uzbu· 扌亠㐅凵禸隹 ·chi
摴	utma· 扌⻗二ㄅ ·chi
摛	uzbv· 扌亠㐅凵禸 ·chi
捇	ugch· 扌土 ·chi
拸	ullx· 扌夕夕 ·chi
